ID,Funcionalidad,Estado,Capa,Evidencia_monitoreo_v2,Accion_propuesta,Prioridad
ARQ-01,Escalabilidad Regional,Parcial,Backend/DB,tenants.timezone; sin country/currency en schema,"Agregar country_code, currency en tenants/buildings; soporte multi-zona horaria por building",P0
ARQ-02,Estándar de Nube,Parcial,Infra,ECS Fargate + RDS TimescaleDB AWS us-east-1,Documentar arquitectura AWS + política soberanía; evaluar región/data residency PASA,P1
ARQ-03,Protocolos de Campo,Parcial,Backend/DB,Modbus en meters; MQTT vía iot_readings; sin BACnet/SNMP,Tablas protocol_mappings + conectores BACnet/SNMP; ampliar ingest,P0
ARQ-04,Gestión de Webhooks,Parcial,Backend,WebhookConnector integraciones; alertas ALERT_WEBHOOK_URL,Webhooks por tipo evento energético configurables por tenant,P1
ARQ-05,Multitenancy y Jerarquía,Parcial,Backend/DB,tenant_id + buildings; sin país/región,Schema regions/countries + rollup views por país/región/mall,P0
ARQ-06,Ambientes,Parcial,Infra,Prod ECS+RDS; dev local Docker,Formalizar ambientes QA/sandbox aislados con datos sintéticos,P1
ARQ-07,Latencia y Concurrencia,Parcial,Mixto,CAGG + portfolio_summary; perf mejorada dashboard,Load tests PASA volumetría; índices/CAGG 15min,P1
ARQ-08,Monitoreo y Observabilidad,Cubierto,Backend,GET /health,Extender health con checks DB/replica,P2
ARQ-09,Interfaz Responsiva,Cubierto,Frontend,React responsive,N/A backend DB,—
ARQ-10,Off-boarding Automático,Falta,Backend/Auth,OAuth Google/MS; sin SCIM/Azure AD sync,Integración SSO SAML/OIDC + desprovisionamiento AD,P0
ARQ-11,Backup y RTO/RPO,Parcial,Infra,RDS backups AWS; sin RTO/RPO documentado,Automatizar backup diario 30d; runbook RTO<4h RPO<1h,P1
ARQ-12,Almacenamiento Histórico,Falta,Backend/DB,retention_policy readings 3y; iot 2y,Subir a 5y; CAGG readings_15min; quitar drop prematuro,P0
ARQ-13,Escalabilidad Horizontal,Parcial,Infra,ECS multi-task posible; single RDS,Read replica + escalar ECS; stateless API,P1
ARQ-14,Sin puntos únicos de falla,Parcial,Infra,Single AZ RDS típico,Multi-AZ RDS + redundancia ECS,P1
ARQ-15,Versionamiento,Parcial,Proceso,"docs/context/, README backend","Entregar pack PASA: diagramas, flujo datos, stack",P2
ARQ-16,Gestión de Configuración,Parcial,Infra,Terraform/scripts parciales en repo,IaC versionado completo ECS/RDS/CF,P2
ARQ-17,Pruebas de Carga,Falta,Proceso,Sin load test report PASA-scale,Ejecutar y documentar pruebas carga ~2700 medidores,P1
ARQ-18,Latencia de Red,Falta,Proceso,No documentado,Especificar requisitos bandwidth/latencia por mall,P2
ARQ-19,API-First,Parcial,Backend,External API v1 read-only; no 100% UI,Inventariar gaps API vs UI; exponer endpoints faltantes,P1
